3978,30
4469.1099,0.0000,4469.1099,4470.1699,4475.6899,4485.1602,4471.6201,4458.8301,4461.9399,4464.0098,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002
4470.1699,0.0000,4470.1699,4475.6899,4485.1602,4471.6201,4458.8301,4461.9399,4464.0098,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599
4475.6899,0.0000,4475.6899,4485.1602,4471.6201,4458.8301,4461.9399,4464.0098,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498
4485.1602,0.0000,4485.1602,4471.6201,4458.8301,4461.9399,4464.0098,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398
4471.6201,0.0000,4471.6201,4458.8301,4461.9399,4464.0098,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701
4458.8301,0.0000,4458.8301,4461.9399,4464.0098,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801
4461.9399,0.0000,4461.9399,4464.0098,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402
4464.0098,0.0000,4464.0098,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202
4477.7402,0.0000,4477.7402,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898
4476.2798,0.0000,4476.2798,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702
4475.7402,0.0000,4475.7402,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801
4473.7500,0.0000,4473.7500,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798
4462.5400,0.0000,4462.5400,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899
4467.3501,0.0000,4467.3501,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801
4486.2500,0.0000,4486.2500,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801,4449.6099
4496.2598,0.0000,4496.2598,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801,4449.6099,4454.8799
4502.2700,0.0000,4502.2700,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801,4449.6099,4454.8799,4453.1299
4505.2700,0.0000,4505.2700,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801,4449.6099,4454.8799,4453.1299,4442.7998
4501.8198,0.0000,4501.8198,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801,4449.6099,4454.8799,4453.1299,4442.7998,4425.3501
4504.7202,0.0000,4504.7202,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801,4449.6099,4454.8799,4453.1299,4442.7998,4425.3501,4401.9302
4505.2900,0.0000,4505.2900,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801,4449.6099,4454.8799,4453.1299,4442.7998,4425.3501,4401.9302,4363.3701
4478.0400,0.0000,4478.0400,4466.7100,4466.6499,4451.2500,4450.1499,4454.3701,4450.3501,4450.9399,4457.2002,4463.3599,4461.5498,4457.8398,4452.3701,4453.5801,4433.2402,4425.7202,4422.5898,4427.9702,4437.5801,4441.7798,4443.6899,4454.5801,4449.6099,4454.8799,4453.1299,4442.7998,4425.3501,4401.9302,4363.3701,4354.4702
